INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN4_0,FN4_0TN3_6,FN3_5TN3_1,FN3_0TN2_6,FN2_5TN2_1,FN2_0TN1_6,FN1_5TN1_1,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,
2022Mar,107,1.2241428857,0,0,.0000000022,.0000002948,.0000220748,.0009258073,.0218024072,.2890494626,2.1630694085,9.1596488747,21.9936589751,29.9870441867,23.2281437096,10.2176822637,2.5490225596,.3599164413,.0286925477,.0013209842,,,,
2022Mar,108,1.14402,,,,,,,,,4.13,12.39,20.66,26.74,20.37,12.02,3.69,,,,,,,
2022Mar,110,,,,,,,,,,,,,,,,,,,,,,,
2022Mar,112,1.3,,,,,,,,,5,10,20,30,20,10,5,,,,,,,
2022Mar,114,1.1,,,,,,,,,,,,,,,,,,,,,,
2022Mar,115,,,,,,,,,,,,,,,,,,,,,,,
2022Mar,117,,,,,,,,,,,,,,,,,,,,,,,
2022Mar,119,1.2,,,,,,,,,,5,5,80,5,5,,,,,,,,
2022Mar,121,1.65,0,0,0,0,0,0,2,3,7,10,17,20,25,12,3,1,0,0,,,,
2022Mar,127,1.6,0,0,0,0,0,0,5.5407383568,3.2049151374,5.5763395688,8.0579193385,10.4813830916,12.2726225167,12.9354022877,12.2728806689,10.4818240463,8.0584278463,5.5768087842,5.5407383568,,,,
2022Mar,128,1.4,,,,,,1,1,3,5,8,10,20,30,14,4,2,1,1,,,,
2024,1,1.8,,,,,,,1,3,5,7,10,20,25,18,5,3,2,1,,,,
2024,2,2,,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,,,,
2024,4,1.7,1,1,1,1,1,1,1,1,1,6.5,12.5,20,20,12.5,10,5,3.5,1,,,,
2024,5,1.7,,,,,,,,,1,2,7,25,30,25,7,2,1,,,,,
2024,6,1.5,,,,,,,,,,,15,35,35,15,,,,,,,,
2024,8,1.6,,,,,,,,,,10,15,23,27,17,5,2,1,,,,,
2024,14,2.2,,,,,,,0,1,2,5,7,12,16,17,15,11,9,5,,,,
2024,15,1.9,,,,,,,,,,5,10,15,20,20,15,10,5,,,,,
2024,16,1.3,,,,,,1,2,3,5,10,18,22,18,10,5,3,2,1,,,,
2024,20,1.6,,,,,,,,,3,7,13,25,30,17,5,,,,,,,
2024,22,1.7,,,,,,,,,,,10,20,40,20,10,,,,,,,
