INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,
2019,95,1.742323666,.5861870481,1.1020076519,3.2288745964,7.3679068353,11.125380711,13.2012479611,19.5335530154,17.381753942,13.6727683573,9.3949825228,2.1643793681,1.2409579906,,,,,,,
2019,96,1.5,,,,5,10,25,45,10,5,,,,,,,,,,
2019,97,,,,,,,,,,,,,,,,,,,,
2019,98,1.7,,,,,5,30,35,25,5,,,,,,,,,,
2019,99,1.7,,,,,,30,70,,,,,,,,,,,,
2019,101,1.5,,,,5,10,35,40,10,,,,,,,,,,,
2019,102,1.4,,,,5,10,40,35,10,,,,,,,,,,,
2019,103,1.8,,,,5,10,25,30,25,5,,,,,,,,,,
2019,107,1.6417666246,.0009887852,.0245795751,.3402917214,2.5762243212,10.6966233072,24.4169873682,30.6901701515,21.250379278,8.0998623343,1.696500952,.1947504794,.0126417265,,,,,,,
2019,108,1.652097851,,,,5.28,12.47,19.81,25.33,19.77,12.33,4.91,.1,,,,,,,,
2019,110,,,,,,,,,,,,,,,,,,,,
2019,111,,,,,,,,,,,,,,,,,,,,
2019,112,1.8,,,,5,10,20,30,20,10,5,,,,,,,,,
2019,114,1.7,,,2,8,12,18,35,15,8,2,,,,,,,,,
2019,116,,,,,,,,,,,,,,,,,,,,
2019,118,1.6,,,,,,,,,,,,,,,,,,,
2019,119,1.5,,,,,25,30,35,10,,,,,,,,,,,
2019Jun,1,1.7,,,2,5,13,20,40,15,4,1,,,,,,,,,
2019Jun,2,1.4,0,0,0,0,10,60,30,0,0,0,0,0,,,,,,,
2019Jun,4,1.7,0,0,0,5,15,20,30,20,10,,,,,,,,,,
2019Jun,6,1.7,,,,,10,25,55,10,,,,,,,,,,,
2019Jun,7,,,,,,,,,,,,,,,,,,,,
2019Jun,8,1.7,,,,5,14,29,33,16,3,,,,,,,,,,
2019Jun,10,1.6,,,,,,35,60,5,,,,,,,,,,,
2019Jun,14,1.2,1,2,5,11,20,26,19,11,4,1,0,0,,,,,,,
2019Jun,15,1.75,,,,5,10,15,30,25,10,5,,,,,,,,,
2019Jun,16,1.7,1,2,2,7,14,16,17,15,11,9,4,2,,,,,,,
2019Jun,20,1.5,,,,5,20,30,35,10,,,,,,,,,,,
2019Jun,22,1.7,,,,5,10,30,40,15,,,,,,,,,,,
2019Jun,23,1.8,,1,2,6,15,20,25,20,10,1,,,,,,,,,
2019Jun,24,1.8,,,2,7,10,17,20,18,15,8,3,,,,,,,,
2019Jun,29,1.6,,,,,,40,50,10,,,,,,,,,,,
2019Jun,31,1.9,,,,5,15,20,35,20,5,,,,,,,,,,
2019Jun,32,,,,,,,,,,,,,,,,,,,,
2019Jun,33,1.8,,,,,,,,,,,,,,,,,,,
2019Jun,35,,,,,,,,,,,,,,,,,,,,
2019Jun,36,1.7,0,0,0,10,20,25,25,10,10,0,0,0,,,,,,,
2019Jun,37,1.9,,,,,,3,54,33,10,,,,,,,,,,
2019Jun,38,1.6,,,,,,20,60,20,,,,,,,,,,,
2019Jun,39,1.5,,,,,10,30,40,20,,,,,,,,,,,
2019Jun,41,,,,,,,,,,,,,,,,,,,,
2019Jun,45,,,,,,,,,,,,,,,,,,,,
2019Jun,47,,,,,,,,,,,,,,,,,,,,
2019Jun,48,,,,,,,,,,,,,,,,,,,,
2019Jun,49,1.4,,,,,,,,,,,,,,,,,,,
2019Jun,52,,,,,,,,,,,,,,,,,,,,
2019Jun,56,1.4,,,,,10,40,40,10,,,,,,,,,,,
2019Jun,61,,,,,,,,,,,,,,,,,,,,
2019Jun,70,,,,,,,,,,,,,,,,,,,,
2019Jun,80,,,,,,,,,,,,,,,,,,,,
2019Jun,82,,,,,,,,,,,,,,,,,,,,
2019Jun,85,1.6007581163,.0057106535,.0776341058,.6723164416,3.5582209662,11.5254514239,22.8740425856,27.835442398,20.7737852956,9.5051446278,2.6642659061,.4569276363,.0510579596,,,,,,,
2019Jun,88,1.8,2,5,6,8,10,11,13,12,11,10,7,5,,,,,,,
2019Jun,89,1.743513851,,,2.5,5,7.5,10,30,30,10,2.5,2.5,,,,,,,,
2019Jun,93,1.8,,,,,,10,67,18,5,,,,,,,,,,
2019Jun,94,1.594,,.5,2,5,11,19,34,18,6,3,1,.5,,,,,,,
2019Jun,95,1.7358893008,1.0133810526,1.7621479956,2.2066724433,6.9758865353,9.5403418281,14.4874445187,21.5040595118,18.3080144617,12.5036583927,6.8502751025,3.010606433,1.8375117247,,,,,,,
2019Jun,96,1.5,,,,5,10,25,40,15,5,,,,,,,,,,
2019Jun,97,,,,,,,,,,,,,,,,,,,,
2019Jun,98,1.7,,,,,10,30,30,20,10,,,,,,,,,,
2019Jun,99,,,,,,,,,,,,,,,,,,,,
2019Jun,101,1.5,,,,,,,,,,,,,,,,,,,
2019Jun,102,1.3,,,,5,10,40,40,5,,,,,,,,,,,
2019Jun,103,,,,,,,,,,,,,,,,,,,,
2019Jun,107,1.6272946242,.0050043932,.0728498888,.6620604993,3.6166549642,11.8948471173,23.5833246186,28.2090396992,20.3611202012,8.8649626823,2.3259758042,.3672690316,.0368911001,,,,,,,
2019Jun,108,1.5511255275,,,,7.19,13.95,21.29,25.03,18.28,10.85,3.41,,,,,,,,,
2019Jun,110,,0,0,0,5,17.5,40,27.5,10,0,0,0,0,,,,,,,
2019Jun,111,,,,,,,,,,,,,,,,,,,,
2019Jun,112,1.8,,,,5,10,20,30,20,10,5,,,,,,,,,
2019Jun,114,1.8,,,2,8,10,15,38,17,8,2,,,,,,,,,
2019Jun,116,,,,,,,,,,,,,,,,,,,,
2019Jun,118,1.5,,,,,,,,,,,,,,,,,,,
2019Jun,119,1.4,,,,,15,40,35,10,,,,,,,,,,,
2022,1,1.9,,1,4,7,15,18,35,10,5,4,1,,,,,,,,
2022,2,1.6,0,0,0,0,0,25,50,25,0,0,0,0,,,,,,,
2022,4,1.8,0,0,5,10,15,20,25,20,5,,,,,,,,,,
2022,6,2,,,,,,5,40,50,5,,,,,,,,,,
2022,7,,,,,,,,,,,,,,,,,,,,
2022,8,1.8,,,1,3,12,20,25,22,10,4,2,1,,,,,,,
2022,10,1.6,,,,,,35,60,5,,,,,,,,,,,
2022,14,1.6,1,2,4,7,13,17,19,16,10,6,3,2,,,,,,,
2022,15,1.975,,,,,5,15,30,25,20,5,,,,,,,,,
2022,16,1.7,5,5,6,7,13,14,16,12,9,7,5,1,,,,,,,
2022,20,1.9,,,5,8,14,18,30,20,5,,,,,,,,,,
2022,22,1.7,,,,,5,20,60,15,,,,,,,,,,,
2022,23,2.2,,1,2,4,10,15,20,17,14,11,5,1,,,,,,,
2022,24,1.9,,1,3.5,8,11,13,14,14.2,14,12.1,7,2.2,,,,,,,
2022,29,1.7,,,,,,40,50,10,,,,,,,,,,,
2022,31,1.9,,,,,10,30,40,15,5,,,,,,,,,,
2022,32,,,,,,,,,,,,,,,,,,,,
2022,33,2,,,,,,,,,,,,,,,,,,,
2022,35,,,,,,,,,,,,,,,,,,,,
2022,36,1.9,0,0,0,5,15,25,25,20,5,5,0,0,,,,,,,
2022,37,2.2,,,,,,1,30,45,22,2,,,,,,,,,
2022,38,,,,,,,,,,,,,,,,,,,,
2022,39,1.8,,,,5,15,25,35,15,5,,,,,,,,,,
2022,41,,,,,,,,,,,,,,,,,,,,
2022,45,1.7,,,,,5,20,50,20,5,,,,,,,,,,
2022,47,,,,,,,,,,,,,,,,,,,,
2022,48,1.5,,,,,,,,,,,,,,,,,,,
2022,49,,,,,,,,,,,,,,,,,,,,
2022,52,,,,,,,,,,,,,,,,,,,,
2022,56,1.5,,,,,5,40,50,5,,,,,,,,,,,
2022,61,,,,,,,,,,,,,,,,,,,,
2022,70,1.8,,,,,,45,55,,,,,,,,,,,,
2022,80,1.5,0,1.1655011655,3.2634032634,9.7902097902,21.2121212121,23.3100233101,22.1445221445,11.8881118881,6.0606060606,.9324009324,.2331002331,0,,,,,,,
2022,82,,,,,,,,,,,,,,,,,,,,
2022,85,1.95,.0166461886,.1183436145,.6587863526,2.6173861765,7.4248907767,15.0436405639,21.7749396845,22.5193747064,16.6401038446,8.7843887907,3.3123122024,1.0891870986,,,,,,,
2022,88,2,3,4,6,7,8,9,10,11,12,11,10,9,,,,,,,
2022,89,1.925,,,0,2.5,7.5,15,30,25,12.5,5,2.5,,,,,,,,
2022,93,2,,,,,,2.5,33,57,7.5,,,,,,,,,,
2022,94,1.73,.5,1,3,4.5,8,16,32,16,8,6,3,2,,,,,,,
2022,95,1.9416049893,.0117412771,.264340091,1.3448007617,5.3165018155,8.4468637532,15.7744815042,20.4067426285,18.7880445461,14.0688697978,8.5685349946,4.2444720126,2.7646068177,,,,,,,
2022,96,2,,,,2,3,10,30,40,10,5,,,,,,,,,
2022,97,,,,,,,,,,,,,,,,,,,,
2022,98,1.9,,,,,,15,35,35,15,,,,,,,,,,
2022,99,1.8,,,,,,30,70,,,,,,,,,,,,
2022,101,1.7,,,5,8,12,25,35,10,5,,,,,,,,,,
2022,102,,,,,,,,,,,,,,,,,,,,
2022,103,1.8,,,,5,10,25,30,20,10,,,,,,,,,,
2022,107,1.933,.0001573862,.0050721514,.0920424623,.9274040078,5.2030094817,16.2941399317,28.5377404107,27.9805077603,15.3576122592,4.713661344,.8074531034,.0811997013,,,,,,,
2022,108,1.7528141758,,,,3.67,11,18.33,25.03,21.27,13.83,6.39,.48,,,,,,,,
2022,110,,0,0,0,2.5,5,7.5,17.5,37.5,20,5,2.5,2.5,,,,,,,
2022,111,,,,,,,,,,,,,,,,,,,,
2022,112,2,,,,,5,10,20,30,25,10,,,,,,,,,
2022,114,1.9,,,2,5,8,13,35,17,10,5,5,,,,,,,,
